Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MATH 41002 ,"INTRODUCTION TO MODERN ALGEBRA II
",MATH,"MATH 41001 with a grade of C(2.000) or better.
",None,"A continuation of MATH 41001, emphasizing properties of rings, their ideals, polynomial ring extensions, fields,
finite degree extensions, roots of polynomials, constructability."
MATH 41021 ,"THEORY OF MATRICES
",MATH,"MATH 21001 and MATH 22005 withgrades
 of C (2.000) or better.
",None,"A rigorous study of the topics introduced in matrix algebra. Topics included are vector space preliminaries,
 canonical forms of matrices, diagonalizability criteria."
MATH 41038 ,"INTERMEDIATE LOGIC
",MATH,none.,None,"(Cross-listed with CS 41038 and MATH 51038 and PHIL 41038 and PHIL 51038) Study of first order predicate
 calculus with identity and function symbols."
MATH 41045 ,"METALOGIC
",MATH,PHIL 41038.,None,"(Cross-listed with CS 41045 and CS 51045 and MATH 51045 and PHIL 41045 and PHIL 51045) May be counted
 toward B.A. or B.S. mathematics major. Consideration of various metatheorems, including soundness and
completeness of propositional and predicate claculus, undecidability of predicate calculus and incompleteness of
 the theory of arithmetic."
MATH 42001 ,"INTRODUCTION TO ANALYSIS I
",MATH,"MATH 21001 and MATH 22005 withminimum grades of C (2.000).
",None,"Topics include basic structure of the real numbers, Cauchy sequences, convergence, completeness of the real
 numbers, continuity, differentiation and Riemann integration."
MATH 42002 ,"INTRODUCTION TO ANALYSIS II
",MATH,MATH 42001 with a minimum grade of C (2.000).,None,"Topics include further development of integration theory, infinite series, uniform convergence, several variable
 calculus and metric spaces."
MATH 42011 ,"MATHEMATICAL OPTIMIZATION
",MATH,"MATH 21001 and MATH 22005 withminimum grades of C (2.000).
",None,"Analytic and numerical techniques for location of extreme points of functions and calculus of variations. Both
 constrained and unconstrained
problems are considered."
MATH 42021 ,"GRAPH THEORY AND COMBINATORICS
",MATH,"MATH 21001 and MATH 12003 withminimum grades of C (2.000).
",None,"Fundamentals and applications of combinatorial mathematics. Topics include traversability, colorability,
 networks, inclusion and exclusion,
matching and designs."
MATH 42024 ,"NUMBERS AND GAMES
",MATH,MATH 21001 with a minimum grade of C (2.000).,None,The study of partisan and impartial combinatorial games; games as numbers; Grundy-Sprague theory.
MATH 42031 ,"MATHEMATICAL MODELS AND DYNAMICAL SYSTEMS
",MATH,MATH 32044 or 32052 with minimum grades of C (2.000).,None,"Formulation and analysis of mathematical models for a variety of phenomena. Mathematical methods from
 optimization dynamical systems and probability are developed and applied. Modern software tools are utilized."
MATH 42039 ,"MODELING PROJECTS
",MATH,"MATH 42031with a minimum grade of C (2.000).
",None,"(Slashed with MATH 52039) Individual and small-group projects concerned with the formulation and analysis of
 mathematical models in a variety of
areas. Written and oral reports are required."
MATH 42041 ,"ADVANCED CALCULUS
",MATH,"MATH 21001 andMATH 22005 with minimum grades of C (2.000).
",None,"The calculus and applications of scalar and vector functions of several variables. Vector differential and integral
 calculus. Applications to field theories, electricity and magnetism, and fluid flow."
MATH 42045 ,"INTRODUCTION TO PARTIAL DIFFERENTIAL EQUATIONS
",MATH,MATH 32044 with a minimum grade of C (2.000).,None,"An introduction to Fourier series, Fourier transforms and partial differential equations. Wave, heat and potential
 equations of mathematical physics. Additional topics include Green's functions and the Method of Characteristics
 for wave equations."
MATH 42048 ,"INTRODUCTION TO COMPLEX VARIABLES
",MATH,MATH 22005 with a minimum grade of C (2.000).,None,"Algebra of complex numbers, analytic functions, mappings, Cauchy integral theory, residue theory and
 applications."
MATH 42201 ,"INTRODUCTION TO NUMERICAL COMPUTING I
",MATH,"MATH 12003 with aminimum grade of C (2.000); MATH 21001 or MATH 32051 with a minimum grade of C (2.000); and CS 10061
 or CS 13001 or both CS 13011 and CS 13012 with a minimum grade of C (2.000). 
",None,"(Slashed with MATH 52201; Cross-listed with CS 42201 and CS 52201). An introduction to numerical methods
 and software for solving many common scientific computing problems. Linear systems, least-squares data
fitting, nonlinear equations and systems, and optimization problems."
MATH 42202 ,"INTRODUCTION TO NUMERICAL COMPUTING II
",MATH,"MATH 42201 with a minimum grade of C (2.000); and MATH 32044 or 32052 with a minimumgrade of C (2.000).
",None,"(Cross-listed with CS 42202 and CS 52202 and MATH 52202) A continuation of MATH 42201. Topics include
 interpolation, numerical differentiation and integration, and numerical solution of ordinary differential equations."
