Course Number,Course Name,Department,Prerequisites,Description
42064,Historical Geography of the United States and Canada,GEOG,10 undergraduate geography (GEOG) credit hours,"Regional origins and growth, evolution of spatial organization, changing evaluation of environments, and past geographies in United States and Canada from pre-Colonial times on."
44010,Geography of the Global Economy,GEOG,10 undergraduate geography (GEOG) credit hours,"Geographic analysis of the increasing interconnectedness of economic activity. The social, technological and political changes associated with globalization are also discussed."
34070,or ECON 22061.This course may be used to satisfy the writing-intensive requirement with approval of major department.44070 Spatial Analysis and Location Theory,GEOG,10 undergraduate geography (GEOG) credit hours,"Classical theories for location of economic activities and contemporary approach of spatial analysis, spatial organization of economic systems, behavioral models in economic geography, spatial allocation problems."
45085,Urban Transportation,GEOG,10 undergraduate geography (GEOG) credit hours,"Spatial analysis of urban transportation, travel behavior, modes. Trip generation and distribution models, transportation planning, urban transportation problems."
46035,Marketing Geography,GEOG,10 undergraduate geography (GEOG) credit hours,"Study of spatial arrangements and functions of market centers and the internal spatial patterns of retail stores, location analysis and site selection. (Practicum required.)"
46065,Advanced Urban Geography,GEOG,10 undergraduate geography (GEOG) credit hours,Investigation of advanced concepts pertaining to the spatial structure of urban areas.
46070,Urban and Regional Planning,GEOG,10 undergraduate geography (GEOG) credit hours,Analysis of geographical aspects of planning for cities and regions.
46092,"Internship in Geography and Planning (3-6)Preprofessional work experience in local, regional and environmental planning agencies and in business designed to utilize and develop academic skills. Prerequisite: special approval.49070 Geographic Information Science",GEOG,10 undergraduate geography (GEOG) credit hours,"Introduction to theories and methods for geographic data processing, including data capture and input, data storage and management, and data analysis and displays. Emphasis is on lab exercises using GIS software packages for real world applications."
49076,Spatial Programming,GEOG,10 undergraduate geography (GEOG) credit hours,"Examination of the design, development and use of geographic information technologies with computer programming to model, process and visualize geographic phenomena."
49080,Advanced Geographic Information Science,GEOG,10 undergraduate geography (GEOG) credit hours,"Advanced theories and techniques for handling geographic information systems, including 2-D and 3-D processing of geographic information, detection and analysis of geographic patterns, 2-D and 3-D mapping of geographic information, modeling of geographic processes, and an overview of GIS programming tools."
49098,Research in Geographic Information Technology (1-3)(Repeated registration permissible) Individual research on a topic in geographic information technology. IP grade permissible. Prerequisite: special approval.49162 Advanced Cartography,GEOG,10 undergraduate geography (GEOG) credit hours,"Study of the design and production of complex maps. Symbolization, composition and color utilization. Corequisite: GEOG 49163."
49163,Advanced Cartography Laboratory,GEOG,10 undergraduate geography (GEOG) credit hours,"Practical experience in the techniques of production and reproduction of maps. Corequisite: GEOG 49162.49165 GeoMapping (3)Information theory, data collection, automated mapping systems. Representation of surfaces, lines and points, geographic data structures and applications. Mapping by line printer, interactive terminals."
49165,GeoMapping,GEOG,10 undergraduate geography (GEOG) credit hours,"Information theory, data collection, automated mapping systems. Representation of surfaces, lines and points, geographic data structures and applications. Mapping by line printer, interactive terminals."
39002,or 39161.49198 Research in Cartography (1-3)(Repeated registration permissible) Individual research on a topic in cartography. IP grade permissible. Prerequisite: special approval.49210 Earth Imagery,GEOG,10 undergraduate geography (GEOG) credit hours,"The student following this course will be introduced to the full variety of methods of imaging the Earth for environmental analysis, including satellite methods."
49211,Earth Imagery Laboratory,GEOG,10 undergraduate geography (GEOG) credit hours,Computer analysis of multispectral satellite datasets. Applications in Terrestrial Earth Science are emphasized.
49230,Remote Sensing,GEOG,10 undergraduate geography (GEOG) credit hours,(Cross-listed with GEOL 42030) Emphasis on computer analysis of LANDSAT data using multivariate statistical tools. Introduces statistical methods and use of computer. Problems in Earth science are stressed.
49480,Field Study in Geography,GEOG,10 undergraduate geography (GEOG) credit hours,"Present methods of planning and structuring field studies, the techniques of mapping and data gathering in the analysis of local field problems."
49482,Field Study of Selected Rural and Urban Areas,GEOG,10 undergraduate geography (GEOG) credit hours,Field studies of rural and urban regional problems in the United States and Canada. One month or more in field; written report on findings. Limited to 15 students. Students pay for own board and lab fee to university. Special fee–actual cost basis.
49890,Applied Geography,GEOG,10 undergraduate geography (GEOG) credit hours,Detailed investigation of application of geographic techniques and knowledge toward problem solving in the “real world.”
