Course Number,Course Name,Department,Prerequisites,Description
31045,and MATH 31045) Study of first-order predicated calculus with identity and function symbols. Prerequisites: none.31060 Aesthetics,PHIL,departmental special approval before registration,"Investigation of concepts such as the aesthetic object and creative expression, and critique of certain theories designed to solve various problems of aesthetic evaluations."
31065,Philosophies of Religious Experience,PHIL,departmental special approval before registration,"Examination of phenomena of religious experience, its structure, ramifications and expression in myth and ritual."
31068,Religious Thought in Contemporary Contexts,PHIL,departmental special approval before registration,"An inquiry into religious convictions, beliefs, symbolizations and texts in contemporary contexts in which religious considerations influence conception, valuation or interpretation of a contemporary situation and how contemporary contexts influence religious thought."
31070,African and African-American Philosophies,PHIL,departmental special approval before registration,(Cross-listed with PAS 30010) Exploration of philosophical issues in African and African-American thought systems including examination of traditional and emerging approaches to developing conceptions of African and African-American philosophies.
31072,American Indian Philosophies,PHIL,departmental special approval before registration,"Examination of philosophical issues and themes in American Indian world views, with attention given to the reflections of contemporary native scholars. Prerequisites: prior course in philosophy (PHIL) and junior standing. This course may be used to satisfy the diversity requirement.31075 Philosophy and Multiculturalism (3)Philosophical examination of various approaches to multiculturalism, in terms of definitions, justifications and relevant alternative views regarding the scope and nature of multiculturalism."
31075,Philosophy and Multiculturalism,PHIL,departmental special approval before registration,"Philosophical examination of various approaches to multiculturalism, in terms of definitions, justifications and relevant alternative views regarding the scope and nature of multiculturalism."
32091,Seminar: Philosophical Reflections,PHIL,departmental special approval before registration,(Repeated registration permissible with departmental approval) Exploration of philosophic literature for contrasting or developing conceptions of human beings.
40005,Health Care Ethics,PHIL,departmental special approval before registration,"Ethical problems in health care critically assessed, and consideration of how these specific ethical problems illuminate the ethical enterprise. Prerequisites: none.40093 Variable Title Workshop in Philosophy (1-6)S/U grading."
40093,Variable Title Workshop in Philosophy (1-6)S/U grading. Prerequisite: special approval.41010 Problems in the Philosophy of Religion,PHIL,departmental special approval before registration,Philosophical examination of issues and problems presented by various writers in philosophy of religion.
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41015 Philosophical Study of Religion,PHIL,departmental special approval before registration,"A philosophical examination of pivotal issues, schools and theorists in the study of religion and the future of comparative studies. This course pursues the academic study of religion at an advanced level."
31001,or 31002 or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41020 Social Philosophy,PHIL,departmental special approval before registration,Philosophic examination of theories of societies as proposed by various writers.
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41025 Philosophy of Law,PHIL,departmental special approval before registration,Critical examination of the nature and function of law.
41030,Ethical Theories and Practices,PHIL,departmental special approval before registration,Intensive and in-depth study of some dimensions of philosophic traditions in ethics.
31001,or 31002 or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41035 Philosophy of Science,PHIL,departmental special approval before registration,Analysis of methodological problems in scientific disciplines.
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41040 Theories of Knowledge,PHIL,departmental special approval before registration,Study of various problems in philosophic theories of knowledge with some emphasis on current philosophic challenges on such theories.
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41042 Topics in Metaphysics,PHIL,departmental special approval before registration,Philosophical examination of at least three issues in metaphysics with an emphasis on the historical debates that give rise to them and their contemporary contexts.
31001,or 31002 or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41045 Metalogic,PHIL,departmental special approval before registration,"(Cross-listed with CS 41045 and MATH 41045) Consideration of various metatheorems, including soundness and completeness of propositional and predicate calculus, undecidability of predicate calculus and incompleteness of the theory of arithmetic."
