Course Number,Course Name,Department,Prerequisites,Description
27170,Introduction to Jazz Styles B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Continued development of basic jazz dance skills.
27070,and special approval.27171 Modern Dance Technique II-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,*(Repeatable for a total of 12 hours) Continuation of intermediate-level dance styles with emphasis on complex movement phrases.
27071,and special approval.27172 Ballet II-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,*(Repeatable for a total of 8 hours) Continuation of intermediate ballet technique.
27174,Dance Composition II:,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"*(Repeatable for a total of 8 credit hours) Basicprinciples of dance composition with attention to design, thematic material, structure, form and small groups."
27074,and special approval.37053 Principles of Dance Mechanics II,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 16 credit hours) Continuation of DAN 17053.
17053,and special approval.37058 Methods and Materials of Dance,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 6 credit hours) Theory and practice of teaching dance technique from middle school to adults with an emphasis on modern dance.
27057,and special approval.37067 Ballet III-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 8 credit hours) Advanced ballet technique.
27172,and special approval.37068 Modern Dance Technique III-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 15 credit hours) Advanced modern dance technique.
27171,and special approval.37070 Dance Composition III,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 8 credit hours) Development of individual movement style through improvisational studies and movement manipulation exercises of structure and form resulting in a substantial solo modern dance work.
27174,and special approval.37071 Movement Notation,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"Analyzing and recording human movement. The common aspects of movement in all forms of sports, dance and aquatics. Analysis and recording with the Labanotation System."
37167,Ballet III-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 8 credit hours) Continuation of advanced ballet technique.
37067,and special approval.37168 Modern Dance Technique III-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 15 credit hours) Continuation of advanced modern dance technique.
37068,and special approval.37170 Dance Composition IV,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 3 credit hours) Exploration of advanced composition skills in preparation for the B.F.A. Senior Choreography Project and future choreographic endeavors.
27174,and special approval.37192 Dance Practicum,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 4 credit hours) Practical experience in cocurriculum dance activities under faculty supervision. S/U grading.
37271,Dance Ensemble,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"(Repeatable for a total of 16 credit hours) Participation in rehearsal, preparation and performance of public dance concerts in an established dance ensemble."
47054,Modern Dance Technique IV-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Advanced technique integrating previously learned modern dance techniques and developing advanced movement phrasing.
37168,and special approval.47055 Ballet IV-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,A continuation of DAN 37167 with increasing clarity and control of movements.
37167,with increasing clarity and control of movements. Prerequisite: DAN 37167 and special approval.47060 Professional Aspects in Dance,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,"(Repeatable for a total of 2 credit hours) Development of pragmatic skills for entrance into professional dance careers. Emphasis on résumé writing, preparation for auditions and economic survival."
27170,and special approval.47063 Dance History I,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,History of dance from antiquity to 1900.
47070,Jazz Style-A,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Jazz style for students with advanced dance technique.
27170,and special approval.47093 Variable Title Workshop in Dance (1-3)Offered for specific professional needs. Emphasis on performance workshops. S/U grading. Prerequisite: special approval.47095 Special Topics in Dance (1-3)(Repeatable for a total of 24 credit hours) Offered when resources permit a topic different from existing courses. Topic to be announced when scheduled. Prerequisite: dance (DANC) major.47154 Modern Dance Technique IV-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Continuation of advanced technique integrating previously learned modern dance techniques and developing advanced movement phrasing with special emphasis on performing quality and movement range.
47054,and special approval.47155 Ballet IV-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,A continuation of DAN 47055 with increasing clarity and dynamic expression.
47055,with increasing clarity and dynamic expression. Prerequisite: DAN 47055 and special approval.47156 Dance Production,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Study of elements involved in planning and implementing a concert. Experiential work in technical and management components.
47163,Dance History II,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,History of the development of concert and theatrical dance forms from 1900 to present day. Prerequisites: dance (DANC) major and DAN 47063 and special approval. This course may be used to satisfy the writing-intensive requirement with approval of major department.47170 Jazz Style-B (2)Continuation of DAN 47070.
1900,to present day. Prerequisites: dance (DANC) major and DAN 47063 and special approval. This course may be used to satisfy the writing-intensive requirement with approval of major department.47170 Jazz Style-B,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,Continuation of DAN 47070.
47070,and special approval.47174 Senior Choreography Project,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 2 credit hours) Creation of a modern dance work to be performed with full production values in an approved setting.
37170,and special approval.47192 Internship in Dance,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable up to 4 credit hours with different age and ability groups.) Supervised dance apprenticeship in an approved educational setting.
47193,Variable Title Workshop in Dance (1-3)Selected topics of interest relating to dance. S/U grading. Prerequisite: junior standing and special approval.47196 Individual Investigation in Dance (1-3)(Repeated registration not to exceed 6 credit hours) Individual projects for dance majors. IP grade permissible. Prerequisites: junior standing and special approval.47525 Student Teaching in Dance,DAN,dance (DANC) major and admission to student teaching and DAN 47192 and special approval,(Repeatable for a total of 18 credit hours) This experience provides for a full semester of student teaching in the broadest range of multiage school settings. S/U grading; IP grade permissible.
